PubSEED Abreviation	VMH Abbreviation	VMH Description	VMH Formula
eUidA	TLF_A_M4A_GLCAASEe	Tolfenamic Acid M4A beta-glucuronidase  extracellular	tlf_a_m4a[e] + h2o[e] -> tlf_a_1a[e] + glcur[e] + h[e]
eUidA	TLF_A_M5_GLCAASEe	N-(2-Methyl-3-Chloro-5-Hydroxyphenyl)-Anthranilic Acid beta-glucuronidase  extracellular	tlf_a_m5[e] + h2o[e] -> tlf_a_1b[e] + glcur[e] + h[e]
eUidA	TLF_A_M5A_GLCAASEe	Tolfenamic Acid M5A beta-glucuronidase  extracellular	tlf_a_m5a[e] + h2o[e] -> tlf_a_1b[e] + glcur[e]
eUidA	TLF_A_M5B_GLCAASEe	Tolfenamic Acid M5B beta-glucuronidase  extracellular	tlf_a_m5b[e] + h2o[e] -> tlf_a_m5[e] + glcur[e]
eUidA	TLF_A_M6_GLCAASEe	N-(2-Carboxy-3-Chlorophenyl)-Anthranilic Acid beta-glucuronidase  extracellular	tlf_a_m6[e] + h2o[e] -> tlf_a_4[e] + glcur[e] + h[e]
eUidA	TLF_A_M9_GLCAASEe	N-(2-Methyl-3-Chloro-4-Metoxyphenyl)-Anthranilic Acid beta-glucuronidase  extracellular	tlf_a_m9[e] + h2o[e] -> tlf_a_1x[e] + glcur[e] + h[e]
eUidA	TLMS_GLC_GLCAASEe	Telmisartan Glucuronide beta-glucuronidase  extracellular	tlms_glc[e] + h2o[e] -> tlms[e] + glcur[e] + h[e]
eUidA	TOLCP_AC_GLC_GLCAASEe	Tolcapone N-Acetyl Amino Glucuronide beta-glucuronidase  extracellular	tolcp_ac_glc[e] + h2o[e] -> tolcp_ac[e] + glcur[e]
eUidA	TOLCP_AM_GLC_GLCAASEe	Tolcapone Amine Glucuronide beta-glucuronidase  extracellular	tolcp_am_glc[e] + h2o[e] -> tolcp_am[e] + glcur[e]
eUidA	TOLCP_GLC_GLCAASEe	Tolcapone 3-Beta-D-Glucuronide beta-glucuronidase  extracellular	tolcp_glc[e] + h2o[e] -> tolcp[e] + glcur[e]
eUidA	TPNO_1GLC_4G_GLCAASEe	Tempol 1-O-Glucuronide And 4-O-Glucoside beta-glucuronidase  extracellular	tpno_1glc_4g[e] + h2o[e] -> tpno_4g[e] + glcur[e] + h[e]
eUidA	TPNO_4GLC_GLCAASEe	Tempol 4-O-Glucuronide beta-glucuronidase  extracellular	tpno_4glc[e] + h2o[e] -> tpnoh[e] + glcur[e] + h[e]
eUidA	TSACMGLUC_GLCAASEe	thiomethyl-sulphoxide-acetaminophen-glucuronide beta-glucuronidase  extracellular	tsacmgluc[e] + h2o[e] -> thsacmp[e] + glcur[e]
eUidA	ESTRONEGLC_GLCAASEe	Estrone-3-glucuronide beta-glucuronidase  extracellular	estroneglc[e] + h2o[e] -> estrone[e] + glcur[e] + h[e]
eUidA	ESTRADIOLGLC_GLCAASEe	Estradiol-17-glucuronide beta-glucuronidase  extracellular	estradiolglc[e] + h2o[e] -> estradiol[e] + glcur[e] + h[e]
eUidA	ESTRIOLGLC_GLCAASEe	Estriol-16-glucuronide beta-glucuronidase  extracellular	estriolglc[e] + h2o[e] -> estriol[e] + glcur[e] + h[e]
eUidA	REGFNB_GLC_GLCAASEe	Regorafenib-glucuronide beta-glucuronidase  extracellular	regfnb_glc[e] + h2o[e] -> regfnb[e] + glcur[e] + h[e]
Fba	FBA	fructose-bisphosphate aldolase	fdp[c] <=> dhap[c] + g3p[c]
Fbp	FBP	fructose-bisphosphatase	h2o[c] + fdp[c] -> pi[c] + f6p[c]
FHY	PMDPHT	Pyrimidine phosphatase	5aprbu[c] + h2o[c] <=> 4r5au[c] + pi[c]
FMNAT	FMNAT	FMN Adenylyltransferase	atp[c] + fmn[c] + h[c] -> fad[c] + ppi[c]
FolB	DHNPA	Dihydroneopterin aldolase	dhnpt[c] <=> 2ahhmp[c] + gcald[c]
FolE	GTPCI	GTP Cyclohydrolase I	gtp[c] + h2o[c] -> ahdt[c] + for[c] + h[c]
FolK	HPPK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	2ahhmp[c] + atp[c] <=> 2ahhmd[c] + amp[c] + h[c]
FolP	FOLD3	Dihydropteroate synthase	2ahhmd[c] + 4abz[c] <=> dhpt[c] + ppi[c]
FolT	FOLABCCte	Folate Transport by ABCa11	atp[c] + fol[c] + h2o[c] -> adp[c] + fol[e] + h[c] + pi[c] 
FPGS	FPGS_tm	TetrahydrofolateL-glutamate gamma-ligase (ADP-forming)	atp[c] + glu_L[c] + thf[c] <=> adp[c] + h[c] + pi[c] + thfglu[c]
Frd	FRD3	Fumarate reductase (2-demethylmenaquinone)	fum[c] + 2dmmql8[c] --> succ[c] + 2dmmqn8[c]
Frd	FRD2	Fumarate reductase (Menaquinol)	fum[c] + mql8[c] --> succ[c] + mqn8[c]
Fum	FUM	fumarase	h2o[c] + fum[c] <=> mal_L[c]
Gap1	GAPD_NADP	D-Glyceraldehyde-3-phosphate:NADP+ oxidoreductase(phosphorylating)	nadp[c] + pi[c] + g3p[c] <=> h[c] + nadph[c] + 13dpg[c]
Gap2	GAPD	glyceraldehyde-3-phosphate dehydrogenase	pi[c] + nad[c] + g3p[c] <=> h[c] + nadh[c] + 13dpg[c]
gapA	E4PD	Erythrose 4-phosphate dehydrogenase	e4p[c] + h2o[c] + nad[c] <=> 4per[c] + 2.0 h[c] + nadh[c]
Gdh	GNOX	beta-D-Glucose:NAD+ 1-oxoreductase	nad[c] + glc_bD[c] <=> h[c] + nadh[c] + g15lac[c]
Gdh	GNOXy	beta-D-Glucose:NADP+ 1-oxoreductase	nadp[c] + glc_bD[c] <=> h[c] + nadph[c] + g15lac[c]
gdhA	GLUDy	Glutamate dehydrogenase (NADP)	glu_L[c] + h2o[c] + nadp[c] <=> akg[c] + h[c] + nadph[c] + nh4[c]
GdhNAD	GLUDxi	Glutamate dehydrogenase (NAD)	akg[c] + h[c] + nadh[c] + nh4[c] <=> glu_L[c] + h2o[c] + nad[c]  
GdhNADP	GLUDy	Glutamate dehydrogenase (NADP)	akg[c] + h[c] + nadph[c] + nh4[c] <=> glu_L[c] + h2o[c] + nadp[c]  
GdhQ	GNOXmq	beta-D-Glucose:quinone 1-oxoreductase (menaquinone)	mqn8[c] + glc_bD[c] <=> mql8[c] + g15lac[c]
GdhQ	GNOXuq	beta-D-Glucose:quinone 1-oxoreductase (ubiquinone)	q8[c] + glc_bD[c] <=> q8h2[c] + g15lac[c]
GlmM	PGAMT	Phosphoglucosamine mutase	gam1p[c] <=> gam6p[c]
GlmS	GF6PTA	Glutamine-Fructose-6-Phosphate Transaminase	f6p[c] + gln_L[c] -> gam6p[c] + glu_L[c]
GlmUa	G1PACT	Glucosamine-1-phosphate N-acetyltransferase	accoa[c] + gam1p[c] <=> acgam1p[c] + coa[c] + h[c]
GlmUb	UAGDP	UDP-N-Acetylglucosamine Diphosphorylase	acgam1p[c] + h[c] + utp[c] -> ppi[c] + uacgam[c]
GlnABC	GLNabc	L-glutamine transport via ABC system	atp[c] + gln_L[e] + h2o[c] -> adp[c] + gln_L[c] + h[c] + pi[c] 
GlnN	GLNS	Glutamine Synthetase	atp[c] + glu_L[c] + nh4[c] -> adp[c] + gln_L[c] + h[c] + pi[c]
GlsA	GLUN	Glutaminase	gln_L[c] + h2o[c] -> glu_L[c] + nh4[c] 
gltA	OAASr	Oxaloacetate synthase, reversible	h[c] + coa[c] + cit[c] <=> h2o[c] + accoa[c] + oaa[c]
GltBD	GLUSx	Glutamate synthase (NADH2)	akg[c] + gln_L[c] + h[c] + nadh[c] <=> 2.0 glu_L[c] + nad[c]
GlyA	GHMT2r	glycine hydroxymethyltransferase, reversible	thf[c] + ser_L[c] <=> h2o[c] + gly[c] + mlthf[c]
GlyB	THRAr	Threonine Aldolase	thr_L[c] <=> acald[c] + gly[c]
GlyTrns	GLYt2r	Glycine Reversible Transport via Proton Symport	gly[e] + h[e] <=> gly[c] + h[c] 
Gnd	GND2	phosphogluconate dehydrogenase, NAD-dependent	nad[c] + 6pgc[c] -> nadh[c] + co2[c] + ru5p_D[c]
GndP	GND	phosphogluconate dehydrogenase	nadp[c] + 6pgc[c] -> nadph[c] + co2[c] + ru5p_D[c]
GTPCH	GTPCII	GTP cyclohydrolase II	gtp[c] + 3.0 h2o[c] <=> 25dhpp[c] + for[c] + 2.0 h[c] + ppi[c]
GuaA	IMPD	IMP dehydrogenase	h2o[c] + nad[c] + imp[c] -> h[c] + nadh[c] + xmp[c]
GuaB	GMPS2	GMP synthase	h2o[c] + atp[c] + gln_L[c] + xmp[c] -> 2 h[c] + glu_L[c] + amp[c] + ppi[c] + gmp[c]
GuaC	GMPR	GMP Reductase	gmp[c] + 2.0 h[c] + nadph[c] -> imp[c] + nadp[c] + nh4[c]
HisA	ATPPRT	ATP phosphoribosyltransferase	atp[c] + prpp[c] <=> ppi[c] + prbatp[c]
HisB	PRATPP	Phosphoribosyl-ATP pyrophosphatase	h2o[c] + prbatp[c] <=> h[c] + ppi[c] + prbamp[c]
HisC	PRAMPC	Phosphoribosyl-AMP cyclohydrolase	h2o[c] + prbamp[c] <=> prfp[c]
HisD	PRMICI	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	prfp[c] <=> prlp[c]
HisE	IG3PS	Imidazole-glycerol-3-phosphate synthase	gln_L[c] + prlp[c] <=> aicar[c] + eig3p[c] + glu_L[c] + h[c]
HisF	IGPDH	Imidazoleglycerol-phosphate dehydratase	eig3p[c] <=> h2o[c] + imacp[c]
HisG	HSTPTr	Histidinol-phosphate aminotransferase (EC 2.6.1.9)	akg[c] + hisp[c] <=> glu_L[c] + imacp[c]
HisH	HISTP	Histidinol-phosphatase	h2o[c] + hisp[c] <=> histd[c] + pi[c]
HisI	HISTD	Histidinol dehydrogenase	h2o[c] + histd[c] + 2.0 nad[c] <=> 3.0 h[c] + his_L[c] + 2.0 nadh[c]
HisTP	HISCAT1	Transport of L-Histidine by Y+ Transporter	his_L[c] <=> his_L[e] 
Hmp	NODOx	Nitric oxide dioxygenase	nadh[c] + 2.0 no[c] + 2.0 o2[c] -> h[c] + nad[c] + 2.0 no3[c]
Hmp	NODOy	Nitric oxide dioxygenase	nadph[c] + 2.0 no[c] + 2.0 o2[c] -> h[c] + nadp[c] + 2.0 no3[c]
HmpT	HMPyrABC	Hydroxymethylpyrimidine transport via ABC	4ahmmp[e] + atp[c] + h2o[c] -> 4ahmmp[c] + adp[c] + h[c] + pi[c] 
Hom	HSDy	Homoserine dehydrogenase (NADPH)	aspsa[c] + h[c] + nadph[c] <=> hom_L[c] + nadp[c] 
HSAT	HSERTA	Homoserine O-trans-acetylase	hom_L[c] + accoa[c] <=> coa[c] + achms[c] 
HSDH	HSDx	Homoserine dehydrogenase (NADH)	aspsa[c] + h[c] + nadh[c] <=> hom_L[c] + nad[c] 
HSST	HSST	Homoserine O-succinyltransferase	hom_L[c] + succoa[c] <=> coa[c] + suchms[c]
IcdNAD	ICDHx	isocitrate dehydrogenase NAD	nad[c] + icit[c] <=> nadh[c] + akg[c] + co2[c]
IcdNADP	ICDHy	isocitrate dehydrogenase (NADP)	nadp[c] + icit[c] -> nadph[c] + akg[c] + co2[c]
IlvA	THRD_L	L-Threonine Deaminase	thr_L[c] -> 2obut[c] + nh4[c]
IlvC	ALACI	(S)-2-Acetolactate isomerase	alac_S[c] -> 33hmeoxobut[c]
IlvC	KARA1	Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)	alac_S[c] + h[c] + nadph[c] -> 23dhmb[c] + nadp[c] 
IlvC	KARA2	Ketol-acid reductoisomerase (2-Acetolactate)	2ahbut[c] + h[c] + nadph[c] -> 23dhmp[c] + nadp[c]
IlvC	KARA3	Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)	33hmeoxobut[c] + h[c] + nadph[c] -> 23dhmb[c] + nadp[c]  
IlvD	DHAD1	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	23dhmb[c] -> 3mob[c] + h2o[c]
IlvD	DHAD2	Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	23dhmp[c] -> 3mop[c] + h2o[c]
IlvE	ILETA	Isoleucine Transaminase	3mop[c] + glu_L[c] -> akg[c] + ile_L[c]  
IlvE	LEUTA	Leucine Transaminase	4mop[c] + glu_L[c] <=> akg[c] + leu_L[c]  
IlvE	VALTA	Valine Transaminase	3mob[c] + glu_L[c] -> akg[c] + val_L[c]
IlvM	ACHBPL	(S)-2-Aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating)	2obut[c] + hethmpp[c] -> 2ahbut[c] + thmpp[c]
IlvM	ACLS_b	2-Acetolactate pyruvate-lyase (carboxylating)	hethmpp[c] + pyr[c] -> alac_S[c] + thmpp[c]
ImpX	RIBFLVt4	Riboflavin transport in via sodium symport reversible	ribflv[e] + na1[e] <=> ribflv[c] + na1[c]
Kbl	GLYAT	Glycine C-acetyltransferase	accoa[c] + gly[c] <=> 2aobut[c] + coa[c]
KPHMT	MOHMT	3-methyl-2-oxobutanoate hydroxymethyltransferase	3mob[c] + h2o[c] + mlthf[c] <=> 2dhp[c] + thf[c]
KPRED	DPR	2-dehydropantoate 2-reductase	2dhp[c] + h[c] + nadph[c] <=> nadp[c] + pant_R[c]
LacY	GALt1r	Galactose Transport (Uniport)	gal[e] <=> gal[c]
LacY	LACTLt	Lactulose transport via proton symport	h[e] + lactl[e] <=> h[c] + lactl[c]
Ldh	L_ILE3MR	Ile-L[c]:nad[c]+ oxidoreductase(deaminating)	3mop[c] + h[c] + nadh[c] + nh4[c] -> h2o[c] + ile_L[c] + nad[c]  
Ldh	L_VALMOD	Valine dehydrogenase (NAD+)	h2o[c] + nad[c] + val_L[c] -> 3mob[c] + h[c] + nadh[c] + nh4[c]
Ldh	LLEUDr	L-leucine:NAD+ oxidoreductase(deaminating)	4mop[c] + h[c] + nadh[c] + nh4[c] <=> h2o[c] + leu_L[c] + nad[c] 
Leu_C	2MMALD	(R)-2-methylmalate dehydratase	2mmal[c] <=> 2mmale[c] + h2o[c] 
Leu_C	2MMALD2	3-isopropylmalate/(R)-2-methylmalate dehydratase	2mmale[c] + h2o[c] -> e3mmal[c]
LeuA	3MOBS	3-methyl-2-oxobutanoate synthase	3mob[c] + accoa[c] + h2o[c] -> 3c3hmp[c] + coa[c] + h[c] 
LeuB	IPMD2	(2R,3S)-3-methylmalate:NAD+ oxidoreductase	e3mmal[c] + nad[c] -> 2obut[c] + co2[c] + nadh[c]
LeuB	IPMDr	3-isopropylmalate dehydrogenase (EC 1.1.1.85)	3c2hmp[c] + nad[c] => 3c4mop[c] + h[c] + nadh[c]
LeuCD	IPPMIa	3-isopropylmalate dehydratase	2ippm[c] + h2o[c] => 3c2hmp[c]  
LeuCD	IPPMIb	2-isopropylmalate hydratase	3c3hmp[c] <=> 2ippm[c] + h2o[c] 
LeuX	OMCDC	2-Oxo-4-methyl-3-carboxypentanoate decarboxylation	3c4mop[c] + h[c] -> 4mop[c] + co2[c]
LivABC	ILEabc	L-isoleucine transport via ABC system	atp[c] + h2o[c] + ile_L[e] -> adp[c] + h[c] + ile_L[c] + pi[c] 
LivABC	LEUabc	L-leucine transport via ABC system	atp[c] + h2o[c] + leu_L[e] -> adp[c] + h[c] + leu_L[c] + pi[c] 
LivABC	VALabc	L-valine transport via ABC system	atp[c] + h2o[c] + val_L[e] -> adp[c] + h[c] + pi[c] + val_L[c] 
Lys_NE	L2A6ODs	L-2-Amino-6-oxopimelate conversion to 2,3,4,5-Tetrahydrodipicolinate (spontaneous)	l2a6o[c] <=> h[c] + h2o[c] + thdp[c]
LysA	DAPDC	Diaminopimelate decarboxylase	26dap_M[c] + h[c] <=> co2[c] + lys_L[c]
LysC	ASPK	Aspartate kinase	asp_L[c] + atp[c] <=> 4pasp[c] + adp[c]
LysP	LYSt2r	L-lysine reversible transport via proton symport	h[e] + lys_L[e] <=> h[c] + lys_L[c] 
Mdh	MDH	malate dehydrogenase	nad[c] + mal_L[c] <=> h[c] + nadh[c] + oaa[c]
MenA	DHNAOT	1,4-dihydroxy-2-naphthoate octaprenyltransferase	dhna[c] + octdp[c] -> 2dmmq8[c] + co2[c] + h[c] + ppi[c] 
MenB	NPHS	Naphthoate synthase	sbzcoa[c] <=> coa[c] + dhna[c]
MenC	SUCBZS	O-succinylbenzoate-CoA synthase	2shchc[c] <=> h2o[c] + sucbz[c]
MenD	SEPHCHS	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	akg[c] + h[c] + ichor[c] <=> 2s5epchc[c] + co2[c]
MenE	SUCBZL	O-succinylbenzoate-CoA ligase	atp[c] + coa[c] + sucbz[c] <=> amp[c] + ppi[c] + sbzcoa[c]
MenF	ICHORS	Isochorismate synthase	chor[c] <=> ichor[c]
MenG	AMMQT8r	S-adenosylmethione:2-demthylmenaquinone methyltransferase (menaquinone 8)	amet[c] + 2dmmq8[c] <=> h[c] + ahcys[c] + mqn8[c] 
MenHY	SHCHCS3	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	2s5epchc[c] <=> 2shchc[c] + pyr[c]
MenIJ	NCOAH	1,4-dihydroxy-2-naphthoyl-CoA hydrolase	dhnacoa[c] + h2o[c] -> coa[c] + dhna[c] + h[c]
MetABC	METabc	L-methionine transport via ABC system	atp[c] + h2o[c] + met_L[e] -> adp[c] + h[c] + met_L[c] + pi[c]
MetC	CYSTL	Cystathionine b-lyase	cyst_L[c] + h2o[c] <=> hcys_L[c] + nh4[c] + pyr[c]
MetE	MTHPTGHM	5 methyltetrahydropteroyltriglutamate homocysteine S methyltransferase	5mthglu[c] + hcys_L[c] <=> met_L[c] + thglu[c] 
MetH	METS	Methionine Synthase	5mthf[c] + hcys_L[c] -> h[c] + met_L[c] + thf[c] 
MmuM	HCYSMT	Homocysteine S-methyltransferase	amet[c] + hcys_L[c] <=> ahcys[c] + h[c] + met_L[c] 
MqnA	CHDHR	Chorismate dehydratase	chor[c] -> 3cvobz[c] + h2o[c]
MqnBX	ADXFTDA	Aminodeoxyfutalosine deaminase	6adxft[c] + h2o[c] -> ftz[c] + nh4[c]
MqnBX	ADXFTNS	Aminodeoxyfutalosine nucleosidase	6adxft[c] + h2o[c] -> ade[c] + dhxft[c] + h[c]
MqnBX	FTHD	Futalosine hydrolase	ftz[c] + h2o[c] -> dhxft[c] + hxan[c]
MqnC	DXFTOR	Dehypoxanthine futalosine:S-adenosyl-L-methionine oxidoreductase (cyclizing)	amet[c] + dhxft[c] -> cdhxft[c] + dad_5[c] + h[c] + met_L[c]
MqnDZ	DH6NPHS	1,4-dihydroxy-6-naphthoate synthase (predicted reaction)	cdhxft[c] -> dh6na[c] + glyald[c]
MqnE	ADXFTSNT	Aminodeoxyfutalosine synthase	3cvobz[c] + amet[c] + h2o[c] -> 6adxft[c] + hco3[c] + met_L[c]
Mqo	MDH2	Malate dehydrogenase (ubiquinone 8 as acceptor)	mal_L[c] + q8[c] -> oaa[c] + q8h2[c]
Mqo	MDH3	Malate dehydrogenase (menaquinone 8 as acceptor)	mal_L[c] + mqn8[c] -> oaa[c] + mql8[c]
MSyn	GLXS	Glyoxylate synthase, reversible       	h[c] + coa[c] + mal_L[c] <=> h2o[c] + accoa[c] + glx[c]
MurI	GLUR	Glutamate racemase	glu_D[c] <=> glu_L[c]
NADS	NADS1	Deamido-NAD+:Ammonia Ligase (AMP-Forming)	atp[c] + dnad[c] + nh4[c] -> amp[c] + h[c] + nad[c] + ppi[c]
Nap	NO3rPmq	Respiratory nitrate reductase, periplasmic (Menaquinol)	mql8[c] + no3[e] -> h2o[e] + mqn8[c] + no2[e]
Nap	NO3rPuq	Respiratory nitrate reductase, periplasmic (Ubiquinol)	no3[e] + q8h2[c] -> h2o[e] + no2[e] + q8[c]
Nar	NO3R1	Nitrate reductase (Ubiquinol-8)	2.0 h[c] + no3[c] + q8h2[c] -> 2.0 h[e] + h2o[c] + no2[c] + q8[c]
Nar	NO3R2	Nitrate reductase (Menaquinol-8)	2.0 h[c] + mql8[c] + no3[c] -> 2.0 h[e] + h2o[c] + mqn8[c] + no2[c]
NarB	NO3Rfdx	Nitrate reductase (ferredoxin) 	no3[c] + fdxrd[c] -> no2[c] + fdxox[c] + h2o[e]
NarKU	NO3t7	Nitrate transport in via nitrite antiport	no2[c] + no3[e] -> no2[e] + no3[c]
Nas	NTRARx	Nitrate reductase NADH	h[c] + nadh[c] + no3[c] -> h2o[c] + nad[c] + no2[c]
Nas	NTRARy	Nitrate reductase NADPH	h[c] + nadph[c] + no3[c] -> h2o[c] + nadp[c] + no2[c]
NatABC	5ASAabc	5-aminosalicylic acid ABC transporter	atp[c] + 5asa[e] + h2o[c] -> adp[c] + 5asa[c] + h[c] + pi[c]
NatABC	AC5ASAabc	N-Acetyl-5-Aminosalicylic Acid ABC transporter	atp[c] + ac5asa[c] + h2o[c] -> adp[c] + ac5asa[e] + h[c] + pi[c]
NatABC	ACISNZDabc	N-Acetylisoniazid ABC transporter	atp[c] + acisnzd[c] + h2o[c] -> adp[c] + acisnzd[e] + h[c] + pi[c]
NatABC	ISNZDabc	Isoniazid ABC transporter	atp[c] + isnzd[e] + h2o[c] -> adp[c] + isnzd[c] + h[c] + pi[c]
Ndk	NDPK2	nucleoside-diphosphate kinase (ATP:UDP)	atp[c] + udp[c] <=> adp[c] + utp[c]
NiaP	NACUP	Uptake of Nicotinic Acid 	nac[e] -> nac[c] 
NiaX	NACabc	Nicotinic acid transport in via ABC transporter	atp[c] + h2o[c] + nac[e] -> adp[c] + h[c] + nac[c] + pi[c] 
NiaY	NACUP	Uptake of Nicotinic Acid 	nac[e] -> nac[c] 
NirA	FDOXR	Ferredoxin--nitrite reductase (EC 1.7.7.1)	6.0 fdxox[c] + 4.0 h2o[c] + 2.0 nh4[c] <=> 6.0 fdxrd[c] + 4.0 h[c] + 2.0 no2[c]
NirBD	NTRIR2x	Nitrite Reductase (NADH)	5.0 h[c] + 3.0 nadh[c] + no2[c] -> 2.0 h2o[c] + 3.0 nad[c] + nh4[c]
NirBD	NTRIR2y	Nitrite reductase (NADP)	5.0 h[c] + 3.0 nadph[c] + no2[c] -> 2.0 h2o[c] + 3.0 nadp[c] + nh4[c]
NirC	NO2t2r	Nitrite transport in via proton symport, reversible	h[e] + no2[e] <=> h[c] + no2[c]
NirK	NO2rDmq	NO-forming nitrite reductase, copper containing (Menaquinol)	2.0 h[e] + mql8[c] + 2.0 no2[e] -> 2.0 h2o[e] + mqn8[c] + 2.0 no[e]
NirK	NO2rDuq	NO-forming nitrite reductase, copper containing (Ubiquinol)	2.0 h[e] + 2.0 no2[e] + q8h2[c] -> 2.0 h2o[e] + 2.0 no[e] + q8[c]
NirS	NIR	Cytochrome cd1 nitrite reductase (EC:1.7.2.1)	ficytC[c] + h2o[c] + no[c] <=> focytC[c] + 2.0 h[c] + no2[c]
Nor	N2OO	Nitrous-oxide:(acceptor) oxidoreductase (NO-forming)	2.0 no[e] + mql8[c] <=> h2o[e] + n2o[e] + mql8[c]
NorZ	NOr1mq	Nitric oxide reductase (Menaquinol)	2.0 no[e] + mql8[c] <=> h2o[e] + n2o[e] + mql8[c]
Nos	N2Ormq	Nitrous-oxide reductase (Menaquinol)	n2o[e] + mql8[c] -> h2o[e] + n2[e] + mql8[c]
Nrf	NO2rPmq	Ammonia-forming cytochrome c nitrite reductase, periplasmic (Menaquinol)	2.0 h[e] + 3.0 mql8[c] + no2[e] -> 2.0 h2o[e] + 3.0 mql8[c] + nh4[e]
Nrf	NO2rPuq	Ammonia-forming cytochrome c nitrite reductase, periplasmic (Ubiquinol)	2.0 h[e] + no2[e] + 3.0 q8h2[c] -> 2.0 h2o[e] + nh4[e] + 3.0 q8[c]
NrtABC	NO3abc	Nitrate transport via ABC system	atp[c] + h2o[c] + no3[e] -> adp[c] + h[c] + no3[c] + pi[c]
ocd1	PRO2xr	Delta 1-pyrroline-2-carboxylate reductase, reversible	nad[c] + pro_L[c] <=> 1p2cbxl[c] + 2.0 h[c] + nadh[c]
ocd2	ORNCD	Ornithine cyclodeaminase	orn[c] <=> nh4[c] + pro_L[c]
Ogr	OOR2r	2-oxoglutarate synthase (rev)	co2[c] + succoa[c] + fdxrd[c] <=> h[c] + akg[c] + coa[c] + fdxox[c]
pabAab	ADCS	4-amino-4-deoxychorismate synthase	chor[c] + gln_L[c] <=> 4adcho[c] + glu_L[c]
pabAc	ADCL	4-aminobenzoate synthase	4adcho[c] <=> 4abz[c] + h[c] + pyr[c]
PANF	PNTOt4	Pantothenate sodium symporter	na1[e] + pnto_R[e] -> na1[c] + pnto_R[c]
PANK	PNTK	Pantothenate Kinase	atp[c] + pnto_R[c] -> 4ppan[c] + adp[c] + h[c]
PANK	r0578	ATP:Pantothenate 4-Phosphotransferase	atp[c] + ptth[c] <=> adp[c] + h[c] + pan4p[c]
PanT	PNTOabc	Pantothenate transport via ECF transporter	atp[c] + h2o[c] + pnto_R[e] -> adp[c] + h[c] + pi[c] + pnto_R[c] 
PatA	ACEDIPIT	Acetyl-L,L-diaminopimelate aminotransferase	akg[c] + n6all26d[c] <=> glu_L[c] + acamoxm[c]
PBAL	PANTS	Pantothenate synthase	ala_B[c] + atp[c] + pant_R[c] <=> amp[c] + h[c] + pnto_R[c] + ppi[c]
PckA	PPCK	phosphoenolpyruvate carboxykinase	atp[c] + oaa[c] -> adp[c] + co2[c] + pep[c]
PckG	PEPCK	Phosphoenolpyruvate carboxykinase (GTP)	oaa[c] + gtp[c] -> co2[c] + pep[c] + gdp[c]
PdxA	PHTHRDH	NAD-dependent threonine 4-phosphate dehydrogenase	nad[c] + phthr[c] <=> amopbut_L[c] + h[c] + nadh[c]
PdxB	PERD	Erythronate 4-phosphate (4per) dehydrogenase	4per[c] + nad[c] <=> h[c] + nadh[c] + ohpb[c]
PdxF	OHPBAT	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase	glu_L[c] + ohpb[c] <=> akg[c] + phthr[c]
PdxH	PDX5PO	Pyridoxine 5'-Phosphate Oxidase	o2[c] + pdx5p[c] -> h2o2[c] + pydx5p[c]
PdxJ	PDX5PSYN	Pyridoxine 5-phosphate synthase	3a2opp[c] + dxyl5p[c] <=> h[c] + 2.0 h2o[c] + pdx5p[c] + pi[c]
PdxK	PYDXKr	Pyridoxal kinase, reversible	atp[c] + pydx[c] <=> adp[c] + h[c] + pydx5p[c]
PdxP	PYDXPP	Pyridoxal 5-Phosphate Phosphatase	h2o[c] + pydx5p[c] -> pi[c] + pydx[c]
PdxTS	PYDXS	Pyridoxal 5-phosphate synthase	g3p[c] + gln_L[c] + ru5p_D[c] <=> glu_L[c] + h[c] + 3.0 h2o[c] + pi[c] + pydx5p[c]
PdxU	PYDXNabc	Pyridoxine transport via ECF transporter	atp[c] + h2o[c] + pydxn[e] -> adp[c] + h[c] + pi[c] + pydxn[c] 
Pfk6	PFK	6-phosphofructokinase	f6p[c] + atp[c] -> fdp[c] + h[c] + adp[c] 
PfkPP	PFK(ppi)	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase, beta subunit (EC 2.7.1.90)	ppi[c] + f6p[c] -> h[c] + pi[c] + fdp[c]
Pgi	PGI	glucose-6-phosphate isomerase	g6p[c] <=> f6p[c]
Pgk	PGK	phosphoglycerate kinase	atp[c] + 3pg[c] <=> adp[c] + 13dpg[c]
Pgl	PGL	6-phosphogluconolactonase	h2o[c] + 6pgl[c] -> h[c] + 6pgc[c]
Pgm	PGM	phosphoglycerate mutase	2pg[c] <=> 3pg[c]
